,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
1034,False,1,0,0,1,24,-571,0.0,-6,5,127,1,1,2,-1,0,0,0,0,0,1,0,1
1035,False,0,0,0,0,26,-1996,0.0,18,6,1097,-5,-10,34,-1,0,0,0,0,0,-1,1,0
1036,False,1,0,0,0,27,-271,0.40000000000000036,13,8,-3843,-3,-6,9,4,0,0,0,0,0,0,0,0
1037,True,1,0,0,0,35,3324,0.40000000000000036,19,0,3405,4,2,-5,4,0,0,0,-1,0,-1,1,1
1038,True,0,0,0,1,26,2439,0.7999999999999998,22,14,2302,5,4,49,4,0,0,0,0,0,1,-1,1
1039,False,0,0,0,0,24,-237,0.0,21,-29,-548,-1,1,-2,1,0,0,0,0,0,0,-1,0
1040,False,0,0,0,0,28,-1894,0.0,40,-8,-826,-4,-5,4,0,0,0,0,0,0,-1,0,0
1041,False,0,0,0,0,26,-210,-0.5999999999999996,-13,-4,1345,-2,6,1,-1,0,0,0,0,0,0,0,0
1042,False,1,0,0,0,29,43,0.39999999999999947,2,0,4156,0,-1,1,1,0,0,0,0,0,-1,0,0
1043,False,1,0,0,0,20,-906,0.0,-9,5,-1970,-2,-6,18,-2,0,0,0,0,0,-1,1,0
1044,True,0,0,0,0,19,68,0.20000000000000018,-5,8,3525,1,3,0,0,0,0,0,0,0,0,0,1
1045,False,0,0,0,0,32,574,0.1999999999999993,3,0,510,3,7,3,1,0,0,0,0,0,-1,0,1
1046,False,0,0,0,0,24,-3454,-0.39999999999999947,-7,-11,-3585,-5,-6,0,4,0,0,0,0,0,0,-1,0
1047,False,0,0,0,0,17,-3046,-0.5999999999999996,-37,6,-2619,-3,-4,15,-1,0,0,0,0,0,0,0,0
1048,False,1,0,0,0,17,-2972,-0.39999999999999947,-11,1,-3741,-7,-4,0,-1,0,0,0,0,0,-1,-1,0
1049,False,0,0,0,0,18,-701,-0.40000000000000036,-65,14,141,0,0,-2,1,0,0,0,0,0,-1,1,0
1050,True,0,0,0,1,27,1569,0.0,-41,4,3702,5,9,8,-1,0,0,0,0,0,1,0,1
1051,True,0,0,0,0,24,-1096,0.0,33,-8,-1512,-5,-10,3,2,0,0,0,0,0,-1,1,0
1052,False,0,0,0,0,31,-690,0.20000000000000018,27,0,-2732,-5,-5,-3,2,0,0,0,0,0,0,0,0
1053,False,0,0,0,0,17,-1984,-0.20000000000000018,7,-2,-3983,-6,-8,4,1,0,0,0,0,0,-1,-1,0
1054,False,0,0,0,0,25,-1726,-0.40000000000000036,-30,3,-1269,-5,-6,-1,-2,0,0,0,0,0,-1,0,0
1055,False,0,0,0,0,17,-3719,-0.20000000000000018,-41,8,-787,-6,-8,-3,-1,0,0,0,0,0,0,0,0
1056,True,0,0,0,1,25,84,-0.1999999999999993,-16,8,-1530,0,2,-4,-3,0,0,0,0,0,1,-1,0
1057,False,0,0,0,0,35,-1238,0.0,27,-8,1440,-5,2,-1,2,0,0,0,0,0,-1,0,0
1058,False,0,0,0,1,33,-1450,0.0,-14,-4,-5185,-2,-3,-5,-1,0,0,0,0,0,1,0,0
1059,False,0,0,0,0,17,-1808,0.1999999999999993,4,4,-4893,-4,-6,2,-1,0,0,0,0,0,-1,-1,0
1060,False,0,0,0,0,20,-4802,-0.5999999999999996,-33,-9,-4267,-5,-9,-17,-2,0,0,0,0,0,-1,-1,0
1061,False,1,0,0,0,21,-1962,-0.39999999999999947,-13,-5,-5369,-1,-6,-6,4,0,0,0,0,0,0,0,0
1062,False,1,0,0,0,34,-1280,-0.20000000000000018,48,-8,1823,-4,-7,4,-2,0,0,0,0,0,0,-1,0
1063,False,1,0,0,1,24,538,-0.20000000000000018,-31,12,-4973,0,1,0,2,0,0,0,0,0,1,1,0
1064,False,1,0,0,0,24,-215,0.0,-14,1,1382,-2,-2,6,-5,0,0,0,0,0,-1,0,0
1065,False,1,0,0,0,26,446,-0.20000000000000018,-37,1,-1417,4,3,-6,0,0,0,0,0,0,0,0,1
1066,False,0,0,0,0,21,-4156,-0.40000000000000036,-41,-8,-3921,-6,-10,-4,2,0,0,0,0,0,-1,0,0
1067,True,1,0,0,0,37,478,-0.40000000000000036,-4,-3,-1011,-1,7,0,1,0,0,0,0,0,-1,0,0
1068,False,0,0,0,0,25,-3188,-0.20000000000000018,-13,-7,-1971,-6,-6,1,2,0,0,0,0,0,0,0,0
1069,True,1,0,0,1,22,-1826,-0.20000000000000018,40,1,-966,-6,-1,-1,-2,0,0,0,0,0,1,-1,0
1070,False,0,0,0,0,21,-3041,-0.5999999999999996,-31,12,-3376,-5,-11,15,1,0,0,0,0,0,0,0,0
1071,True,1,0,0,0,31,1950,0.0,-38,-4,3268,6,7,5,0,0,0,0,0,0,-1,-1,1
1072,True,1,0,0,0,34,-1060,0.0,19,1,-702,-3,-3,-2,3,0,0,0,0,0,-1,-1,0
1073,False,0,0,0,0,24,-3276,0.0,12,2,-5114,-5,-7,-1,1,0,0,0,0,0,0,0,0
1074,False,0,0,0,0,38,425,0.39999999999999947,-7,15,-2805,1,1,54,-1,0,0,0,0,0,-1,0,1
1075,True,1,0,0,0,34,1623,0.20000000000000018,-22,-4,2816,5,9,11,-5,0,0,0,0,0,-1,1,1
1076,False,0,0,0,1,29,1138,0.5999999999999996,17,15,2693,2,-2,-1,1,0,0,0,0,0,1,0,1
1077,False,1,0,0,0,23,15,-0.39999999999999947,-14,-5,2052,0,5,-3,2,0,0,0,0,0,-1,0,0
1078,False,0,0,0,0,25,-3133,-0.1999999999999993,-26,1,707,-4,-6,4,-3,0,0,0,0,0,-1,1,0
1079,True,0,0,0,1,18,3481,0.20000000000000018,37,14,1508,3,3,4,1,0,0,0,0,0,1,1,1
1080,True,0,0,0,1,29,3115,0.5999999999999996,-3,28,3673,4,3,5,0,0,0,0,0,0,1,1,1
1081,False,0,0,0,0,28,-1862,0.20000000000000018,9,20,-4938,-4,-12,-15,-1,0,0,0,0,0,-1,0,0
1082,False,0,0,0,1,25,755,-0.20000000000000018,14,-24,2251,2,9,3,4,0,0,0,0,0,1,0,1
1083,True,0,0,0,1,31,-1267,-0.1999999999999993,-6,-4,-1343,-1,1,-1,0,0,0,0,0,0,1,0,0
1084,False,0,0,0,0,18,-3548,-0.20000000000000018,-29,-8,-4267,-6,-6,-5,-1,0,0,0,0,0,0,0,0
1085,True,0,0,0,1,26,739,0.0,42,-8,1675,0,1,27,-9,0,0,0,0,0,1,0,0
1086,False,1,0,0,0,26,4029,0.0,-16,0,4899,5,11,18,-3,0,0,0,0,0,0,0,1
1087,True,1,0,0,1,25,1382,-0.1999999999999993,18,11,1581,1,0,0,4,0,0,0,0,0,1,0,1
